ano,idade,total_total,total_homens,total_mulheres,urbano_total,urbano_homens,urbano_mulheres,rural_total,rural_homens,rural_mulheres
2010,67 anos,93636,40198,53438,90607,38578,52029,3029,1620,1409
2010,68 anos,88413,37986,50427,85726,36546,49180,2687,1440,1247
2010,69 anos,83497,35601,47896,80943,34210,46733,2554,1391,1163
2010,70 anos,89771,38237,51534,86908,36699,50209,2863,1538,1325
2010,71 anos,75391,31747,43644,73186,30595,42591,2205,1152,1053
2010,72 anos,74350,31003,43347,72156,29816,42340,2194,1187,1007
2010,73 anos,67657,27384,40273,65773,26387,39386,1884,997,887
2010,74 anos,69113,27786,41327,67127,26705,40422,1986,1081,905
2010,75 anos,63988,25782,38206,62243,24862,37381,1745,920,825
2010,76 anos,55843,21822,34021,54339,21063,33276,1504,759,745
2010,77 anos,52115,19886,32229,50641,19179,31462,1474,707,767
2010,78 anos,49838,18964,30874,48493,18260,30233,1345,704,641
2010,79 anos,47615,17764,29851,46439,17164,29275,1176,600,576
2010,80 anos,48926,17711,31215,47624,17070,30554,1302,641,661
2010,81 anos,37495,13427,24068,36544,12956,23588,951,471,480
2010,82 anos,34991,12224,22767,34115,11795,22320,876,429,447
2010,83 anos,30718,10479,20239,29949,10112,19837,769,367,402
2010,84 anos,26518,9022,17496,25880,8702,17178,638,320,318
2010,85 anos,23392,7643,15749,22879,7410,15469,513,233,280
2010,86 anos,20016,6387,13629,19539,6154,13385,477,233,244
2010,87 anos,16664,5274,11390,16256,5073,11183,408,201,207
2010,88 anos,13452,4183,9269,13096,4015,9081,356,168,188
2010,89 anos,11162,3392,7770,10844,3256,7588,318,136,182
2010,90 anos,10230,2967,7263,9960,2854,7106,270,113,157
2010,91 anos,7130,2188,4942,6962,2111,4851,168,77,91
2010,92 anos,5853,1541,4312,5708,1488,4220,145,53,92
2010,93 anos,4594,1185,3409,4472,1142,3330,122,43,79
2010,94 anos,3495,868,2627,3409,831,2578,86,37,49
2010,95 anos,2747,681,2066,2669,655,2014,78,26,52
2010,96 anos,2080,480,1600,2027,461,1566,53,19,34
2010,97 anos,1607,405,1202,1563,381,1182,44,24,20
2010,98 anos,1161,276,885,1122,261,861,39,15,24
2010,99 anos,863,183,680,842,178,664,21,5,16
2010,100 anos,1747,370,1377,1669,348,1321,78,22,56
