ano,idade,total_total,total_homens,total_mulheres,urbano_total,urbano_homens,urbano_mulheres,rural_total,rural_homens,rural_mulheres
2000,total,14391282,6900335,7490947,13821466,6603891,7217575,569816,296444,273372
2000,0 a 4 anos,1221148,621320,599828,1165603,593144,572459,55545,28176,27369
2000,5 a 9 anos,1195262,606627,588635,1138081,577529,560552,57181,29098,28083
2000,10 a 14 anos,1203229,608822,594407,1146213,579341,566872,57016,29481,27535
2000,15 a 19 anos,1316292,656590,659702,1259818,627357,632461,56474,29233,27241
2000,20 a 24 anos,1300107,641580,658527,1248838,615041,633797,51269,26539,24730
2000,25 a 29 anos,1166031,566594,599437,1121367,543632,577735,44664,22962,21702
2000,30 a 34 anos,1123899,538788,585111,1080532,516257,564275,43367,22531,20836
2000,35 a 39 anos,1134417,537330,597087,1092641,515761,576880,41776,21569,20207
2000,40 a 44 anos,1037763,488168,549595,1002110,469280,532830,35653,18888,16765
2000,45 a 49 anos,885240,411311,473929,855490,395181,460309,29750,16130,13620
2000,50 a 54 anos,725723,337488,388235,701484,324333,377151,24239,13155,11084
2000,55 a 59 anos,541417,246857,294560,521660,236223,285437,19757,10634,9123
2000,60 a 64 anos,471145,210146,260999,454122,200929,253193,17023,9217,7806
2000,65 a 69 anos,388641,166850,221791,375099,159737,215362,13542,7113,6429
2000,70 a 74 anos,302432,124230,178202,292240,118710,173530,10192,5520,4672
2000,75 a 79 anos,191140,74643,116497,184948,71377,113571,6192,3266,2926
2000,80 a 89 anos,161183,55202,105981,156037,52718,103319,5146,2484,2662
2000,90 a 99 anos,24184,7003,17181,23280,6613,16667,904,390,514
2000,100 anos,2029,786,1243,1903,728,1175,126,58,68
2000,0 anos,240427,122345,118082,229748,116960,112788,10679,5385,5294
2000,1 anos,240371,122527,117844,229634,117028,112606,10737,5499,5238
2000,2 anos,246908,125383,121525,235554,119675,115879,11354,5708,5646
2000,3 anos,248640,126529,122111,237259,120729,116530,11381,5800,5581
2000,4 anos,244802,124536,120266,233408,118752,114656,11394,5784,5610
2000,5 anos,251403,127407,123996,239318,121295,118023,12085,6112,5973
2000,6 anos,244475,124065,120410,232898,118117,114781,11577,5948,5629
2000,7 anos,237835,120870,116965,226578,115122,111456,11257,5748,5509
2000,8 anos,230716,117184,113532,219776,111655,108121,10940,5529,5411
2000,9 anos,230833,117101,113732,219511,111340,108171,11322,5761,5561
2000,10 anos,238518,121676,116842,226912,115607,111305,11606,6069,5537
2000,11 anos,242112,122429,119683,230677,116563,114114,11435,5866,5569
2000,12 anos,244415,123580,120835,232626,117444,115182,11789,6136,5653
2000,13 anos,233467,117779,115688,222649,112242,110407,10818,5537,5281
2000,14 anos,244717,123358,121359,233349,117485,115864,11368,5873,5495
2000,15 anos,246618,123507,123111,235367,117732,117635,11251,5775,5476
