property_type,stars,score,area,ghg_total,ghg_intensity,electricity,natural_gas,eui_site,eui_source,eui_site_wn,eui_source_wn
Multifamily Housing,2,50,383817,2282.5,7.3,9194951,15955922,80.1,135.4,84.2,140.2
Multifamily Housing,2,49,77280,496.9,6.4,1131572.7,6030828,92.7,122.9,96.8,126.8
Multifamily Housing,1,18,76690,692.8,9,2868519.5,4615461.2,97.6,167.9,97.6,167.9
Multifamily Housing,4,96,62352,248.4,4,342762.7,3669100.3,64.3,77.2,68.5,81.2
K-12 School,3.5,56,123430,710.5,5.8,2598719.9,5741420,67.6,107.8,71.4,111.8
Multifamily Housing,1,3,53407,606.9,11.4,2192993.5,4982471.6,134.4,212.9,134.4,212.9
K-12 School,2.5,33,60934,439.1,7.2,1237008.9,4632940.1,96.3,136.7,101.9,142.5
Office,4,74,692429,4738.2,7.1,18726427.2,24583671.1,78.9,129.6,81,131.9
Multifamily Housing,4,95,97890,379.2,5.4,1799539.9,1851211.9,52.3,100.1,53.7,100.7
Multifamily Housing,4,64,123137,966.1,7.8,1094719.7,14973136.3,130.5,152.6,138.7,161.1
Hotel,4,96,300000,1690.6,5.6,6730549,12052900.1,62.6,105,65.3,107.8
Multifamily Housing,1,1,112487,981.2,12.5,3965597.2,6820000.1,137.8,233.4,143.6,240.5
Multifamily Housing,4,62,69512,477.9,5.5,1567466,4391998.3,68.1,102.9,71.6,106.6
Multifamily Housing,4,93,137038,509.1,5,1842814.4,4169748.4,58.6,93,61.4,95.9
Office,4,83,359409,2176.3,6.1,10176259.7,11071541.7,59.1,111.6,63.1,115.8
K-12 School,4,67,115536,552.3,4.8,2145582.8,4094089.6,54,89.2,57.5,92.9
K-12 School,3,44,51852,367.9,7.1,812897.1,4537950.2,103.2,135.8,116,149.2
Multifamily Housing,3,64,72000,458.4,6.4,1127335,5318649.1,89.5,121.4,94.8,126.7
Multifamily Housing,1,23,260000,1759.5,8.2,4082550.2,21130895.1,118,157.4,124.7,163.5
Office,4,85,92741,776.4,8.4,3630890.2,3948599.8,81.7,154.3,83.1,155.8
K-12 School,3.5,51,216475,1497.5,6.9,7615897.3,5815950.1,62,126.7,64.5,129.3
Multifamily Housing,1,23,691865,4061.5,8.2,15303509,31500469.8,94.1,152.7,97.9,156.1
Multifamily Housing,1,20,499172,3403.5,8.5,12625262.8,26980933.6,98.4,158.3,101,160.6
Hotel,4,83,600700,4372.2,7.3,13065511.3,43924698.8,94.9,137.7,100,143.5
K-12 School,4,74,70601,332.3,4.7,984524.6,3362719.8,61.6,89.1,69.3,97.2
Multifamily Housing,2.5,51,62663,357.3,6.2,893708.6,4100101.4,86.3,117.6,90.6,121.8
Multifamily Housing,4,96,79000,264.1,3.3,724736.1,2842327.9,45.2,63.5,47.5,66
Office,3.5,78,821526,5548.5,6.8,25659314.8,29067102.4,66.6,124.6,69.7,127.8
Multifamily Housing,2.5,58,177000,1191.7,6.7,4297414.1,9808200.3,79.7,126.2,83.4,130.4
Multifamily Housing,3,62,55892,228.8,4.8,1025029.6,1295837.9,48.9,89.1,50.2,92.8
Multifamily Housing,4,83,109912,698.4,6.4,1705808.1,8137428.1,89.6,121.2,98.1,129.6
Multifamily Housing,4,88,200675,966,5.2,3388228.7,8231208.9,62.8,98,65.1,100.4
Multifamily Housing,4,84,230116,878,4,1909392.8,10920609,58.1,76.1,61.3,79.1
Multifamily Housing,2.5,52,148200,733.4,6.6,2445233.7,6623137.8,81.6,124.2,85.4,127.8
Multifamily Housing,3.5,75,176000,946.3,5.9,2855635.7,9425041.4,76.3,111.1,75.9,110.2
Multifamily Housing,3.5,73,58652,301.6,5.7,1015731.9,2693044.8,69.7,106.6,72.5,109.3
Multifamily Housing,3,70,81150,373.6,4.8,1430726.7,2830118.2,54.8,89.7,56.8,91.8
Multifamily Housing,3,69,250200,1375.7,6.2,3988081.6,14182369.7,82.3,118,87,122.9
Multifamily Housing,1.5,39,59150,516.3,8.7,1732879.7,4629039.4,107.6,164.2,111.8,168.6
K-12 School,2.5,39,90799,646.8,7.1,3968218.1,516660,49.4,128.3,50.9,132.2
Multifamily Housing,1.5,34,709000,4039.2,8,14392000.5,33757557.1,95.9,150.9,100.9,156.2
K-12 School,4,81,142356,592.9,5.1,1776464.6,5942993.2,67,97.3,70.7,101.2
Multifamily Housing,2,47,99500,502.2,5,658171.4,7521890.1,82.2,97.9,91.8,108
Multifamily Housing,1,30,59667,365.7,6.1,433518.5,5610886.4,101.3,119.1,108.2,126.4
K-12 School,4,93,98019,304.9,3.1,459224.9,4391350.6,49.5,60.2,53.6,64.5
K-12 School,2.5,33,233791,2036.7,8.7,7022779,17709129.6,105.8,163.6,111.8,169.9
Hotel,4,81,891733,5532.9,7.8,24309934.2,32738102.1,80.4,144.3,82.6,146.7
Multifamily Housing,3,63,188910,1219,6.5,3945635.6,11355870.5,81,121.6,84.3,124.6
Multifamily Housing,4,84,67346,310.9,5.9,636327.8,3983022.9,88.2,113.9,93.9,119.8
Senior Living Community,1,4,77824,873.2,12.7,4144124.1,4262676.3,122,233.3,125.2,236.4
Multifamily Housing,3.5,72,77900,346.6,5.1,1058975.6,3413809.7,66,96.6,68.7,98.9
K-12 School,2,13,192250,2043.4,10.6,10015305.8,9043459.7,99.1,195.3,103.7,201.1
Multifamily Housing,1.5,38,200986,1161.5,8,3785149.9,10745606,100.4,151.2,105.6,156.2
K-12 School,3.5,52,208829,1224.8,5.9,2098970.5,16891489.2,90.9,113.1,97.8,120.3
Multifamily Housing,1,28,308690,2455.1,9,6209208.9,27977994.2,125.2,171.2,130.6,176.9
Multifamily Housing,1,16,78224,827.7,10.6,1802419.7,10286471,154.5,202.6,166.9,215.5
Multifamily Housing,4,88,279996,1328.3,4.7,2970971.6,16277592.3,68.7,90.8,73,95.2
K-12 School,4,66,65590,343.8,5.2,1313687.3,2612850.1,59.9,97.9,65.8,104.1
K-12 School,2,26,80217,644.3,8,3126138.6,2945080,75.7,147.7,80,152.2
Multifamily Housing,3,61,62959,305.1,5.8,1046828.9,2668933.8,70.2,108.4,73.3,111
Senior Living Community,3,42,191337,1937.1,10.3,6901784.4,16190699.5,123.2,193.7,128.4,199.4
Retail Store,3.5,59,67000,643.9,9.6,3417039.5,2082267.2,82.1,175.4,84.2,177.6
Multifamily Housing,4,91,267485,1148.6,5.3,6279277.3,3174649.3,43.4,96,45.3,100.9
Multifamily Housing,4,100,82716,213.1,2.6,998242,1078580.5,25.1,47.5,25.1,47.5
K-12 School,3.5,53,80028,484,6,2199564.4,2648580.2,60.6,111.7,65.6,119.7
Multifamily Housing,4,83,159623,640.8,5.5,2749229.2,3986215,58,102.3,61.1,106.9
Multifamily Housing,4,84,82600,402.7,4.9,2030266.2,1616976,44.2,89.4,45.2,91.3
Multifamily Housing,4,96,62631,253,4,1534052.3,256602.6,28.6,72.9,28.8,73.1
Multifamily Housing,3,65,139094,879.1,6.3,2038158.2,10562259.4,90.6,120.8,96.2,126.6
Senior Living Community,3.5,78,120000,843.8,7,3807488.5,4698100.1,70.9,129.9,73.9,133.6
K-12 School,3,46,86770,549.1,6.3,1822649,4982090.1,78.4,119.1,82.4,123.3
Multifamily Housing,4,75,608318,2381.2,5.4,13889739.6,4018017.7,40.2,96.9,40.5,97.1
K-12 School,4,89,121566,444.7,3.7,1192254.2,4869770.4,49.9,69.5,54.7,74.6
Multifamily Housing,1.5,35,456057,2862.6,7.5,13566449.8,14031883.2,72.7,138.9,76.5,145.8
Multifamily Housing,2,29,289267,2343.7,8.1,5277948.5,28616578.6,117.2,155,123.2,161.3
Multifamily Housing,4,100,104900,307.4,3.3,1162052.2,2373548.3,37.9,61.6,40.3,64
Multifamily Housing,4,93,230247,896.9,4.5,2812775.9,8620283.4,57.7,85.5,60.5,88.1
Office,2,18,58044,862.5,14.9,5403618.7,360228.6,99.3,267.2,99.3,267.2
Multifamily Housing,4,84,125000,618.3,5.2,2642491.5,3876843.6,54.3,95.6,56.2,97.3
Multifamily Housing,4,88,80000,385.1,4.8,1517835.1,2790309.7,53.9,89.7,56.7,91.7
Multifamily Housing,1,11,121000,1251.9,10.3,7960779.5,177500,67.3,185.8,71.7,198.2
Multifamily Housing,4,94,96000,309.3,3.2,365015.8,4751500,53.3,62.6,57.6,66.9
Multifamily Housing,4,95,138636,666.1,4.8,2074264,6445434.8,61.5,90.7,64.7,94.2
Multifamily Housing,4,87,374047,1504.1,4.3,3218478.2,18860537.6,63.1,82.3,66.9,86.2
K-12 School,3.5,60,150000,384.1,7.1,1384705.6,3162100,84,133,88.7,137.9
Multifamily Housing,1,11,82328,847.5,10.4,1468053.9,11642493.2,161.5,201.2,171.9,212.2
Multifamily Housing,4,86,115000,538.2,4.7,2303635.7,3363740.7,49.3,86.8,50.8,88.3
Multifamily Housing,4,90,58400,226.4,3.9,275048.2,3453700.4,63.8,75.3,71,82.8
K-12 School,4,76,272432,1397.1,5.1,5568344,9942170.2,56.9,95.5,59.3,98
Multifamily Housing,2,45,781789,2979.7,8,12278979.8,20020133,86.7,148.6,90.7,153.7
Multifamily Housing,1,21,103162,704.6,6.8,1975451.7,7460355,91.5,129.6,96.6,134.6
Hospital (General Medical & Surgical),2,30,5863656,102661,26.4,456007414,325954996.6,255.6,481.7,256.1,481.8
Multifamily Housing,4,83,71000,494.6,7,1216647.6,5737905.4,98,132.8,102.6,137.7
Residence Hall/Dormitory,4,92,56200,254.6,4.5,800279.2,2440999.9,57.7,85.5,63,91.1
Multifamily Housing,3.5,74,52872,306.4,5.8,644073,3875715,85.5,111.1,90.9,116.8
K-12 School,4,71,109910,543.5,7.3,2279011.8,3535208.2,78.8,135.9,81.7,139
Multifamily Housing,4,87,341201,1690,6.1,4556364.8,18428909.4,82.7,115.5,86.7,119.7
Multifamily Housing,4,93,175279,933.4,5.3,2462747.4,10337770.7,73,101.3,76.8,104.6
Multifamily Housing,4,100,37485,132.7,3.5,805805.2,130630.3,25,63.8,25,64
Senior Living Community,1,11,152570,2187.1,16.2,7565499.8,18947642.8,196.9,305.1,201.2,308.5
Multifamily Housing,4,79,92181,393.6,5.5,1615926.6,2663031.3,60.3,103.2,63,106.6
Multifamily Housing,3.5,53,75634,582.8,7.7,3079592.8,1922929.2,66.5,141.4,68.9,146.9
Office,3.5,59,90125,942.5,10.5,2960510.5,8511,117.2,187.7,119.9,191.2
Multifamily Housing,1,14,73600,740.3,10.1,2031259.1,7969500,135.9,191,145.6,201.2
Supermarket/Grocery Store,3,62,71373,2121.4,29.7,11558699.9,5976600,245.7,541.4,255.7,550.5
K-12 School,2,23,50060,410.2,8.2,1496243.3,3326650.2,96.3,153.5,101.9,159.2
Office,4,89,985092,3413.3,6.3,16874922.5,14677850.1,58.6,116.4,61.9,119.8
Multifamily Housing,1.5,34,270000,1823.8,7.9,4222244,21930749.4,113.7,151.5,122.3,160.1
Office,4,84,84000,353.1,4.3,1523222.6,2171734.2,44.5,78.9,46.9,81.3
Hotel,4,85,949542,7049.4,7.4,28250094.4,49711358.4,82.1,138.3,85.7,142
Multifamily Housing,2.5,34,343068,2043.3,7,7857037.7,15382077.2,79.8,131.1,83.8,135.2
Hotel,4,71,383168,3739,9.8,8164936.4,34494201.5,142.7,182.7,148.4,188.8
Hotel,4,77,142321,1150.4,8.1,4557746.2,8266500.1,90.1,150.7,92.4,153.1
Multifamily Housing,2.5,35,571833,3751.2,8.1,8540369.2,45529000.3,116.3,154.3,119.5,157.6
Hotel,3.5,80,96599,617.6,7.9,3040151.6,2694009.7,73,144.3,74.4,145.8
K-12 School,3,43,128953,870.1,6.7,4593363.8,2884799.8,58,123.2,60.5,125.5
K-12 School,4,76,137334,614.1,4.5,1633161.9,6763389.8,61.1,85,67.1,91.7
K-12 School,4,69,85474,432.4,5.1,1558337.1,3562159.8,59.9,94.8,67,103.4
K-12 School,4,87,101627,376,3.7,830369.4,4639259.6,53.8,70.8,57.5,74.7
Multifamily Housing,3.5,79,59040,297.1,5,1141249.2,2240886.5,57.3,94,60.3,96
K-12 School,4,62,121241,669.1,5.5,3128363.8,3405049.9,53.9,101.7,56.8,106
K-12 School,4,89,298432,1205.8,4,4782065.7,8650160,45,75.3,48.7,79.2
Multifamily Housing,3.5,78,271000,1266.3,6,3868904.7,12472400.1,77.1,112.9,81.4,117.5
Supermarket/Grocery Store,4,67,74182,1876.9,25.3,10110619.2,5628300.2,212.2,461.3,215.9,464.4
K-12 School,3.5,56,90969,527.3,5.8,1673415.1,5009810.3,73.5,109.3,82.9,119.2
Multifamily Housing,4,98,62000,260.3,4.2,1375222.4,860489.7,36.1,76.7,37.4,80.3
Multifamily Housing,1,15,633938,5317.2,9.6,28390793.4,16686453.5,81.1,174.5,87,187.3
Senior Living Community,3,48,89268,919.5,10.3,4039258.7,5443419.5,106.2,190.7,111,194.8
K-12 School,1,4,214541,2700.7,12.6,9150781.8,23958843.7,154.3,236.7,173.8,261.1
Multifamily Housing,4,64,241267,1554,7,5001828.8,14560479.1,88.3,132.3,90.9,134.7
Multifamily Housing,3.5,73,1050816,5114.4,6.3,17656721.6,44408768.9,76.7,118.8,80.5,122.8
Multifamily Housing,2.5,32,752716,4561.7,8,24625987.6,13523941.7,66.5,144.9,68.5,150.5
Multifamily Housing,4,100,358743,1101.4,3.3,3006326.7,11903446.7,44.3,62.1,47.7,66.2
Multifamily Housing,1,1,80000,1072.8,13.4,4299426.2,7565080.9,148.3,249.8,154.4,256.2
K-12 School,3.5,53,165513,994.2,6,3685830.9,7887440,69.9,112.4,76.4,119.2
Multifamily Housing,2.5,55,211600,1029.3,5.9,3772716.8,8293065.4,68.9,110.1,71.3,111.6
Office,4,82,760892,3772.5,5,15899942.2,17882478.9,52.9,90.9,54.2,92.3
Multifamily Housing,3,64,70680,605.6,8.6,3120192.2,2232781.2,75.7,156.8,77,158.1
Supermarket/Grocery Store,4,63,65000,1628.1,25,8231261.7,6466500.2,226.1,459,233,466.2
Multifamily Housing,1,30,399124,2280.6,7.6,7496955.6,20908278.6,94.5,142.8,97.9,146
Multifamily Housing,4,100,81194,961.9,2.5,5403031.7,2234713,19.6,44.9,20.5,47.3
Multifamily Housing,3.5,76,78709,394.5,5,1844472.6,2007471.4,48.9,92.4,51.7,97.7
Office,4,85,787045,5064.2,6.4,26703131.6,16881799.8,55.4,117.5,57.3,119.6
Office,4,78,941166,6087.4,6.9,25535359.9,39576111.6,74.1,128.6,77.3,132
Multifamily Housing,2.5,32,409326,2380.3,8,8532729.7,19743000,95.4,150.6,98.9,153.6
K-12 School,4,100,68331,145.9,2.1,377153.7,1638110,29.5,40.6,31.2,42.6
Multifamily Housing,2,46,370000,2329.7,6.3,13399391,4488800.2,48.3,114.1,51,121
K-12 School,3.5,57,71500,410.9,5.7,1530445.6,3238520.1,66.7,107.5,70.3,111.2
Retail Store,3,49,103699,1106.2,10.7,5582368.8,4424448.8,96.5,195.5,99,196.1
Multifamily Housing,3.5,80,51000,227.9,4.5,34520.4,4189055.1,82.8,88.1,87.3,92.9
K-12 School,3.5,57,68750,383.8,5.6,881354.6,4635390.2,80.2,106.7,86.5,113.9
Multifamily Housing,2,46,145230,929,6.4,5275780.8,1988352,50,116.1,52.1,121.7
Office,3.5,77,262214,1686.8,6.7,8307640,7346790.6,62.2,123,65.2,126.2
Multifamily Housing,3.5,56,59310,387.7,6.5,782436.5,5000300.2,97.5,125.5,102.4,130
Multifamily Housing,4,92,130250,474.7,4.8,1874375.4,3429199.6,53.6,89.4,56.5,91.9
Multifamily Housing,4,62,201000,1195.7,6.3,2719841.7,14520125.2,90.7,120.3,95.7,125.2
Multifamily Housing,1,22,97930,1092.1,11.2,5421633.8,4630699.8,102.6,204.7,106.9,212.7
K-12 School,2.5,35,109399,790.5,7.2,3096169.7,5785780.1,81.2,134.8,88.6,142.5
K-12 School,2.5,36,169730,1332.4,7.8,4073933.2,13114039.9,101.3,148.3,109.9,157.4
Supermarket/Grocery Store,2,27,256742,3767.1,37.9,18449486.5,16712339.5,353.5,695.8,361.1,702.3
K-12 School,3,50,87876,540.6,6.2,2070600.2,4094510.3,70.2,114.9,74.6,119.5
Multifamily Housing,3,48,450008,2823.5,6.7,5312514.6,37549343.1,102.1,129.3,108.3,135.9
K-12 School,3.5,58,177004,986.6,5.6,2953149.5,9898019.5,72.6,105.4,80.3,113.5
K-12 School,4,67,99762,503.4,5,1227198.6,5872050.1,71.2,96.2,79.5,105.3
K-12 School,4,90,328514,1271.6,3.9,3095557.1,14844530.8,54.6,73.8,60.3,79.8
K-12 School,1,4,57743,659.1,11.4,1447055.4,8156259.8,166.3,218.5,176.7,230.3
Office,4,85,963386,5141.6,5.3,21444491.8,33790574.8,57.3,99.2,60.3,102.3
Senior Living Community,3.5,56,76788,725.4,9.4,3682424.6,2837100.3,84.9,173.1,87.4,175.7
K-12 School,4,74,220787,1172.9,5.3,5554515.6,5762229.9,51.3,97.8,56.1,105.1
Multifamily Housing,4,69,77500,452.7,7.1,1776552.2,3303440,79.4,131.9,81.5,133.1
Multifamily Housing,1,23,122883,988.6,8.7,4781921.1,4562006.4,81.8,159.2,83.8,164.8
Office,4,80,554777,3139.6,5.7,11875792,24213785,65.1,105.8,68.7,109.6
K-12 School,3,46,69287,445.6,6.4,1963884.7,2618630,66.1,119,69.9,123
Multifamily Housing,3.5,72,57000,390.6,6.9,1163120.1,3936248.7,89.5,129.6,94,134.1
Multifamily Housing,4,79,145964,755.5,5.9,2585569.1,6627160,71.7,110.5,74.6,112.6
K-12 School,2,16,99420,886.8,8.9,2982153.6,7933980,109.8,167.8,119.4,179.3
Office,1,8,132000,3084.8,23.4,17872998.9,5561579.8,177.5,423.4,180.5,426.5
Multifamily Housing,4,86,105718,486.5,4.6,1965390.5,3383953.5,50.6,85.7,53,88.3
Multifamily Housing,1.5,32,358151,2359.7,8.1,9130655.7,17596701.6,91.7,151.1,96.6,157.2
K-12 School,3,46,94600,623.9,6.6,2849386.4,3373049.8,65.8,121.8,68.3,125
Multifamily Housing,1,7,149551,1339.5,10.6,3171126.4,15901955.6,151.6,203.3,158.6,210
K-12 School,2.5,38,57507,392,6.8,970075.1,4530380,95.6,130,101,135.5
Multifamily Housing,3.5,54,449653,2444.1,6.6,11188067.2,13141857.6,65.7,121.8,68.7,126.1
Multifamily Housing,4,93,50500,241.1,4.8,1239578.7,896929.2,42.3,87.4,42.6,87.7
Multifamily Housing,3.5,51,99530,842.2,8.5,2517465.7,8459820,110.3,160.1,117,166.2
Multifamily Housing,3,66,142000,906.3,6.4,2520628.8,9657225.1,85.8,121.1,90.2,125.8
Multifamily Housing,3.5,73,60000,318.6,5.3,1198945.2,2475300,61.8,99.8,64.4,102.2
Multifamily Housing,1,25,125000,956.3,7.7,1402059.1,13884960.5,122.3,148,129.6,155.7
K-12 School,3.5,58,112070,639.1,5.7,2777711,3871190.1,59.3,105.7,61.7,108.2
K-12 School,4,96,60018,150.9,2.5,221915.3,2189720.1,40.2,48.7,46.1,55.1
Multifamily Housing,4,94,83916,427.8,5.1,1126737.9,4743179.4,69.9,96.9,73.1,99.8
K-12 School,4,71,98920,469.5,5.7,2143806.3,2539312.9,57.1,105.7,59.3,108
K-12 School,2,18,58451,521,8.9,2790482.4,1610440.2,75.3,162.6,80.1,172.4
Office,1.5,38,140000,1748.6,12.5,8868736.3,6862699.8,112.4,228.8,116.2,232.9
Multifamily Housing,4,82,114602,446.4,5.3,1604636.3,3690092,62.5,98.7,64,100.3
Multifamily Housing,2.5,53,59000,327.5,5.6,760319.8,3931632.4,79.5,106.1,87.2,114.1
Multifamily Housing,3.5,74,443907,2346.3,6,8830941.9,18225823,68.8,111.5,71.9,114.6
Multifamily Housing,1,12,81094,785.2,9.7,2454835.1,7569725.3,123.6,182.8,130.4,189.9
Office,4,71,433339,2822.3,9.1,12172067.6,17370620,95,168.3,94,167.2
Multifamily Housing,2.5,55,273708,1648.1,7.4,3937946.3,19457800.1,104.4,140.4,108.6,144.8
K-12 School,1,4,359255,4781.4,13.3,27468314.6,9309760.2,102.4,241.3,106.1,248.7
Courthouse,3.5,73,1593714,10603.2,6.9,45571417.1,65724181.5,72.2,127.5,75.2,130.6
Senior Living Community,2.5,36,78317,626.6,8,2838555.4,3456299.9,80.4,147.8,83.4,151
Multifamily Housing,4,91,872200,3753.1,4.3,18994388.8,14847770,38.8,78.9,39.6,79.7
Office,4,71,77000,574.8,7.5,3347049.1,986304.8,56.3,135.2,59.9,143.5
Multifamily Housing,2,50,110500,755.3,8.3,1938016,8526409.5,115.6,158.9,115.6,158.9
Multifamily Housing,4,83,75435,289.8,3.8,541945,3863300.7,58.4,73.9,62.9,78.3
K-12 School,3.5,55,144246,807.3,5.6,3135014.1,5988349.9,63.2,104.4,70.6,116.2
Residence Hall/Dormitory,3,70,90770,684.7,7.5,4096235.5,854900,54.5,136.2,58,144.2
K-12 School,4,69,81769,403.8,4.9,1043444.3,4536360.2,68.2,94,72.6,99.3
K-12 School,2,27,64558,494.3,7.7,1352484.5,5332929.9,103.6,145.4,109.6,151.7
Multifamily Housing,2,49,78167,480.1,6.9,1326084.1,5141729.3,92.5,130.2,92.5,130.2
Retail Store,3,66,513257,2041.7,11,9860697.3,9464700,104.5,203,108,206.6
Multifamily Housing,1.5,38,50864,431.4,8.5,1507261.3,3692610,102.2,159.2,105.7,162.3
K-12 School,4,92,126934,427.5,3.4,1506620.3,3621379.9,40.4,63.2,45.1,69.1
K-12 School,4,67,83424,418.5,5,1110781.8,4615180.2,68.6,95.4,74.1,101.1
Multifamily Housing,1,14,82000,784.4,9.6,920315.3,12064323.4,158.3,185.9,168.2,196.2
Multifamily Housing,2.5,56,287883,1281,7.4,4007895.6,12341343.9,94,139.1,98.5,143.2
K-12 School,4,80,150000,314.5,5.5,1235075.8,2292899.8,61.5,102.3,65.2,106.2
Medical Office,1,15,71110,945.1,13.3,3866879.8,6431871,144.8,247.2,151,253.1
Multifamily Housing,4,98,645473,2343,4.3,11721374.2,9670043.1,39.6,79.6,39.6,79.5
Multifamily Housing,4,91,269311,1342.2,5,4702353.7,11452314.5,60,93.5,62.1,96
Multifamily Housing,3.5,78,746661,3421,5.2,14106313.5,22958762.9,56.6,97.1,59.5,100.8
Multifamily Housing,1,1,93310,1064.8,11.4,6268031.5,1630400,84.6,206.4,84.9,206.7
K-12 School,3,49,96598,595.4,6.2,2116796.6,4990739.9,73.6,115.6,79.1,122
K-12 School,4,67,56385,283.2,5,700495,3273959.8,70.5,95.8,75.3,100.8
Office,4,75,1636819,10364.1,6.5,66300331.7,312624.7,41.6,116.1,43,120.1
Multifamily Housing,1,27,150463,1291.7,8.6,5161390.4,9152920.8,95.1,159.9,99.2,162.4
Multifamily Housing,3,68,58167,382.1,6.6,767239.3,4939600.2,98.1,126.1,102.9,130.4
Multifamily Housing,4,89,170184,681.1,4,2763047.8,4704004.9,43.9,74.5,46.2,77.1
K-12 School,2.5,34,96895,677.1,7,1304722.8,8914260.1,105.5,134.3,114.6,143.9
Multifamily Housing,1,18,56098,487.5,9.6,1277463,5425200.1,131.7,182.2,139.6,190.5
Multifamily Housing,1.5,33,59904,354.6,5.9,115114.1,6338570.3,107.7,116.5,107.8,116.6
Multifamily Housing,3.5,52,176450,991.3,5.6,1830630.1,13284050.5,85.7,108.1,90.8,113
Office,2.5,39,259000,3015.9,11.6,14051291.4,15493629.9,114.1,214.7,118.6,219.4
Office,4,80,859786,5125.2,6,20415344.1,23641640.4,66.3,109.1,68.2,111.1
K-12 School,2.5,32,79511,590.4,7.4,2537170,3661390.1,78,137.7,81,139.9
Office,3,70,434052,3327,7.7,17992104.5,9770870.5,64,139.7,65.6,141.5
Multifamily Housing,4,82,150000,689.2,4.6,2894600.9,4471192,49.1,85.3,51.9,88.4
Multifamily Housing,4,97,179658,616.1,3.6,3163923.8,2302773.5,31.8,65.6,32.8,66.7
K-12 School,3.5,54,63929,373.1,5.8,1088752.4,3824910.2,76.9,110.5,76.9,110.5
K-12 School,3.5,52,81370,496,6.1,2093682.8,3186130.1,64.9,113.2,68.3,116.8
Multifamily Housing,3.5,80,148900,769.3,6,3658431.8,3733819.6,57.8,110.7,59.2,112.3
Office,4,78,158114,1173,7.6,5652752.7,5474537.4,72,139.5,74.1,141.8
Multifamily Housing,2,48,50000,307.5,6.2,585062.5,4071168.4,93.1,118.3,98.2,123.2
Retail Store,3.5,79,161640,1513.9,6.4,8882334.1,2403159.8,47.9,116.2,49,117.1
Multifamily Housing,3,42,57850,435.4,7.5,1267564.8,4472990.6,99.2,142.5,103.4,146.9
Multifamily Housing,1,21,77800,610,7.8,2780107.8,3315036.7,78.3,144.8,80.9,147.8
Multifamily Housing,4,91,76497,384,5,1226706.8,3625609.5,63.4,94.7,66,97
Multifamily Housing,2.5,57,64648,423.4,6.5,1692639.5,107970,63.6,118.1,63.6,118.1
Multifamily Housing,1,12,85742,898.4,10.5,4897601.5,2522700,87.3,191.6,92.1,201.7
Multifamily Housing,3,64,59677,392.8,6.6,780051.4,5103529.5,98.6,126.4,104.3,131.4
Multifamily Housing,1.5,35,55216,1523.4,8.3,7622609.6,6283155.9,75.9,152.5,78,155.9
Office,3.5,58,160280,1569.6,9.8,8755592,3824434.7,78.5,178,79.7,178.7
Multifamily Housing,1.5,32,249845,1672,8.2,5502272.8,15311203.2,101.6,153.7,106.5,158.3
Multifamily Housing,4,93,917200,3171.2,4.7,16150763.2,12247493.3,42.1,86.1,43,87
Multifamily Housing,4,96,112662,563.9,5,2720346.3,2624200.4,47.4,92.1,48.9,95.1
Office,4,76,77760,507.7,6.5,2920293.5,977361,50.1,118.4,55.3,129.3
Multifamily Housing,4,80,335411,1624.3,6,4476113.6,17428859.1,81.5,114.7,85.7,118.2
Multifamily Housing,1,24,1668187,12896.1,10,30768518.2,152388451.9,141.4,190.1,147.1,196
K-12 School,4,66,118211,605.8,5.1,1796893.3,6125230,67,97,74.2,104.5
Office,4,89,53500,248.4,4.6,1232141.5,1056200,42.8,85.2,47.4,91.3
Multifamily Housing,1.5,31,101941,1174.1,11.5,6470830.2,3090812.5,93.8,209.6,95.8,210.6
Hospital (General Medical & Surgical),3.5,58,981153,15414.6,22.1,65483978.2,97798072.1,234.1,410.1,241.3,417.4
Senior Living Community,1,12,71586,511.3,7.1,1919280.7,3986500.3,82.5,133.5,85.6,136.3
K-12 School,4,83,138936,683.8,4.9,2499623.4,5530070.4,57.8,92.2,62.1,96.7
Multifamily Housing,4,80,56000,383.1,6.8,2230489.2,659410.1,51.6,123.9,53.3,128.6
Multifamily Housing,2.5,40,1173350,7532.5,8.1,43859399.6,12940835.6,61.2,147,64.1,154
Multifamily Housing,3.5,80,52760,340.7,6.5,1796213.3,1136808,55.6,118,58.5,125.6
Multifamily Housing,3,66,429600,2233.1,5.8,8737664.6,16368496.4,64.8,107.5,67.9,110.8
Multifamily Housing,4,86,63800,291.8,5.6,595448.5,3744182,83.1,107.3,91.4,114.8
Multifamily Housing,4,88,324946,1249.5,4.5,4967561.7,8928179.8,49.6,83.1,51.6,85.1
Supermarket/Grocery Store,1.5,40,66467,1945.9,29.3,10286190.5,6411700.1,251.2,534.6,256.6,540.2
Hospital (General Medical & Surgical),4,78,966916,12603.3,18.5,49900285.1,90660907.3,206.2,344.5,210.4,349.1
Multifamily Housing,4,99,302787,1179.8,3.9,6128758.8,4203262.4,34.1,71.3,34.8,71.4
K-12 School,4,75,52968,244.9,4.6,884355.7,2013100,54.7,86.7,57.3,89.4
K-12 School,4,72,132724,648.1,4.9,3180288.7,2857040.1,45.5,89.7,48.4,92.8
Multifamily Housing,3.5,72,85457,415.7,6.3,1770783.6,2623071.6,66.4,116.6,68.4,118.5
Retail Store,3.5,56,109634,989.4,9,3661086.2,7870627.6,105.2,168.9,110.1,174
