property_type,stars,score,area,ghg_total,ghg_intensity,electricity,natural_gas,eui_site,eui_source,eui_site_wn,eui_source_wn
Senior Living Community,1,25,74185,643.3,9.5,2325856.1,5277976.8,112.8,178.9,117.5,184.6
K-12 School,4,65,62750,326,5.2,1044686.8,3067909.7,65.5,98,70.3,103.5
Multifamily Housing,4,82,91968,322.1,4.7,927569.2,3339321.9,62.8,89.8,65.6,92.6
Multifamily Housing,2.5,38,110435,812.1,7.9,3185730,5929664.5,89,147.9,92.2,150.5
Multifamily Housing,4,90,563659,2422,5.3,11644228.2,11383738.7,50.6,97.9,51.9,99.4
K-12 School,2,21,87628,674.7,7.7,1010667.5,9732470.2,122.6,148.9,138.3,165.4
K-12 School,4,91,143266,491.8,3.4,1661189,4377879.9,42.2,64.6,46.5,69.5
Multifamily Housing,1,30,64000,573.2,9,1596529.4,6100596.2,120.3,169.9,125.5,174.6
Multifamily Housing,4,81,1151549,5186.7,5.4,19781459.6,39525344.4,62.3,101.7,64.7,104.3
Multifamily Housing,4,80,52272,245.1,4.7,545864.8,3010592.1,68,89.7,72,93.9
K-12 School,2.5,31,72000,523.6,7.3,1264862.9,6140970,102.9,138.7,110.9,147.2
Office,3.5,76,1095104,6794.7,6.2,32826510.8,31469670.8,58.7,114.1,62.2,117.8
Office,4,74,1191631,5430.1,8.2,34656715.2,400857.8,53.1,147.6,55.3,153.7
Multifamily Housing,3,46,151865,1076.3,7.1,6054672.5,2473410.2,56.2,128.7,65.7,143.7
Multifamily Housing,3.5,55,684299,4109.6,7.8,17101534.3,27121534.4,83.7,144.4,87.8,149.5
K-12 School,3.5,51,132193,800.5,6.1,2945797.4,6414819.6,70.8,113.3,78.1,123.5
Multifamily Housing,3.5,77,259996,1477.2,6.2,3442472.2,17696679,88.1,117.6,96.2,126.1
Hotel,2.5,52,250000,1931.9,7.7,7420795.6,12522087.3,88,143.2,94.5,151.6
K-12 School,4,95,131200,385,2.9,1515428.9,2795680.3,32.9,54.7,35.8,58.2
Multifamily Housing,2.5,51,220000,1281.2,6.2,4260700.9,11601290,77.4,117.6,80.9,120.1
Senior Living Community,1,27,60000,502.7,8.4,1767828.8,4269800.1,100.6,157.2,104.7,160.8
K-12 School,3,46,63257,401,6.3,1366837.9,3532610.3,77.5,119.1,82.4,124.4
Multifamily Housing,4,70,686958,3159.3,6.3,13635950.2,19413967.5,66.1,117.1,68.9,120
Multifamily Housing,3,64,96737,466.6,6.5,1549174.3,4233378.4,80.6,122.4,83.5,125.5
K-12 School,4,90,218200,862.8,4,2657029.3,8436730.5,50.8,74.7,55.6,79.7
Multifamily Housing,4,70,135086,732.8,6.6,4399460.2,869227.2,47.1,118.4,49.7,125.7
K-12 School,2,15,103904,945.1,9.1,3876184.4,6403839.9,98.9,169.2,105.3,178.3
Multifamily Housing,4,79,205348,1656.2,8.4,7500367.8,9142095.7,84.6,155.5,87.8,158.9
K-12 School,3.5,57,92365,529.2,5.7,1874065.3,4455830.1,68.5,107.5,72.5,111.6
K-12 School,4,68,71870,347.6,4.8,333471.8,5564070.3,82.1,94.3,87.5,100.3
Office,3.5,79,60892,290.9,4.8,1293163.6,1677071.8,48.8,88.4,50.9,90.6
Multifamily Housing,4,96,97465,356.6,3.7,1487504.1,2343124.9,39.3,68,39.3,68
Office,4,81,3457865,20741.2,6.5,88649320.1,74788659.9,68.6,118.1,70,119.7
Multifamily Housing,4,83,196000,917.3,4.7,2107442.3,11078440.1,67.3,89.5,71.1,92.9
Hotel,4,71,177137,1528.3,8.6,5515610.6,12566948.8,102.1,161.7,105.7,164.7
